landuse	x.axis	y.axis	S_Series	Sam_Dist	type	Sam_Depth	Latitude	Longitude	Elevation	gravimetric	bd	Total_N	Total_C 	OM	C_N	Lat	Long	Elev2	Code_x.y	
Grassland	284.5	541	KkoC	0.5	N4	(0-15)				0.32	1.190	0.198	2.070	3.569	10.455				KkoC-O	
Grassland	285.5	541	KkoC	0.5	N4	(0-15)				0.30	1.285	0.193	1.973	3.402	10.223				KkoC-O	
Grassland	286	541	KkoC	0.5	N4	(0-15)				0.34	1.202	0.215	2.132	3.676	9.916				KkoC-O	
Grassland	435	659	PeoC	0.5	N5	(0-15)				0.23	1.484	0.141	1.270	2.190	9.007				PeoC-K	
Grassland	435.5	659	PeoC	0.5	N5	(0-15)				0.24	1.515	0.145	1.446	2.493	9.972				PeoC-K	
Grassland	436	659	PeoC	0.5	N5	(0-15)				0.26	1.577	0.138	1.400	2.414	10.145				PeoC-K	
Grassland	435.5	659.5	PeoC	0.5	N5	(0-15)				0.20	1.465	0.119	1.056	1.821	8.874				PeoC-K	
Grassland	436	659.5	PeoC	0.5	N5	(0-15)				0.22	1.445	0.129	1.140	1.966	8.837				PeoC-K	
Grassland	434	660	PeoC	0.5	N5	(0-15)				0.22	1.425	0.156	1.430	2.466	9.167				PeoC-K	
Grassland	434.5	660	PeoC	0.5	N5	(0-15)				0.23	1.347	0.134	1.153	1.988	8.604				PeoC-K	
Grassland	434	660.5	PeoC	0.5	N5	(0-15)				0.21	-0.038	0.137	1.134	1.955	8.277				PeoC-K	
Grassland	434	660	PeoC	0.5	N5	(0-15)				0.29	1.433	0.141	1.315	2.267	9.326				PeoC-K	
Grassland	434.5	660.5	PeoC	0.5	N5	(0-15)				-0.17	1.978	0.165	1.514	2.610	9.176				PeoC-K	
Grassland	435.5	660.5	PeoC	0.5	N5	(0-15)				0.23	1.505	0.124	1.114	1.921	8.984				PeoC-K	
Grassland	434.5	659.5	PeoC	0.5	N5	(0-15)				0.15	0.579	0.124	1.016	1.752	8.194				PeoC-K	
Grassland	75	150	PenB	15	N1	(0-15)				0.24	1.320	0.123	1.233	2.126	10.024				PenB-L15	
Grassland	105	150	PenB	15	N1	(0-15)				0.23	1.459	0.125	1.201	2.071	9.608				PenB-L15	
Grassland	75	165	PenB	15	N1	(0-15)				0.26	1.439	0.174	1.779	3.067	10.224				PenB-L15	
